9944	1261104994	LICEUL TEORETIC "LUCIAN BLAGA" CLUJ-NAPOCA	LICEUL TEORETIC "LUCIAN BLAGA" CLUJ-NAPOCA	CLUJ-NAPOCA	MUNICIPIUL CLUJ-NAPOCA	CLUJ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9945	1361101474	LICEUL TEORETIC ’LUCIAN BLAGA’ CONSTANŢA	LIC TEORETIC ’LUCIAN BLAGA’ CȚA	CONSTANŢA	MUNICIPIUL CONSTANŢA	CONSTANŢA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9946	0561101089	LICEUL TEORETIC "LUCIAN BLAGA" ORADEA	LICEUL TEORETIC "LUCIAN BLAGA" ORADEA	ORADEA	MUNICIPIUL ORADEA	BIHOR	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9947	1761204424	LICEUL TEORETIC “MARIN COMAN”, LOCALITATEA GALATI	LIC.TEO."M.COMAN" GL	GALAŢI	MUNICIPIUL GALAŢI	GALAŢI	Cu personalitate juridică	Unitate de învățământ	Privată
9948	4061103636	Liceul Teoretic "Marin Preda"	Lic. Teor. "Marin Preda"	BUCUREŞTI SECTORUL 6	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9949	3461100114	LICEUL TEORETIC "MARIN PREDA" TURNU MĂGURELE	LTE "MARIN PREDA" TURNU MĂGURELE	TURNU MĂGURELE	MUNICIPIUL TURNU MAGURELE	TELEORMAN	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9950	2361202014	LICEUL TEORETIC "MARK TWAIN INTERNATIONAL SCHOOL" VOLUNTARI	LICEUL TEORETIC "M. TWAIN INTERNATIONAL" VOLUNTARI	VOLUNTARI	ORAŞ VOLUNTARI	ILFOV	Cu personalitate juridică	Unitate de învățământ	Privată
9951	5161100095	LICEUL TEORETIC "MIHAI EMINESCU" CALARASI	LIC. "MIHAI EMINESCU" CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9952	1261103609	LICEUL TEORETIC "MIHAI EMINESCU" CLUJ-NAPOCA	LICEUL TEORETIC "MIHAI EMINESCU" CLUJ-NAPOCA	CLUJ-NAPOCA	MUNICIPIUL CLUJ-NAPOCA	CLUJ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9953	3761105259	LICEUL TEORETIC "MIHAI EMINESCU", MUN. BÂRLAD	LIT MIHAI EMINESCU	BÂRLAD	MUNICIPIUL BÂRLAD	VASLUI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9954	4061204816	Liceul Teoretic Mihai Ionescu	Liceul Mihai Ionescu	BUCUREŞTI SECTORUL 3	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Unitate de învățământ	Privată
9955	0261100581	LICEUL TEORETIC "MIHAI VELICIU" CHISINEU-CRIS	LICEUL TEORETIC "MIHAI VELICIU" CHISINEU-CRIS	CHIŞINEU-CRIŞ	ORAŞ CHIŞINEU-CRIŞ	ARAD	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9956	1661105781	LICEUL TEORETIC "MIHAI VITEAZUL" BAILESTI	LICEUL MIHAI VITEAZUL BAILESTI	BĂILEŞTI	MUNICIPIUL BĂILEŞTI	DOLJ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9957	2861100531	LICEUL TEORETIC "MIHAI VITEAZUL" CARACAL	LIC.T."MIHAI VITEAZUL" CARACAL	CARACAL	MUNICIPIUL CARACAL	OLT	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9958	1561100158	LICEUL TEORETIC ”MIHAI VITEAZUL” VIȘINA	LICEUL TEORETIC ”MIHAI VITEAZUL” VIȘINA	VIŞINA	VIŞINA	DÂMBOVIŢA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9959	1361100903	LICEUL TEORETIC 'MIHAIL KOGĂLNICEANU' MIHAIL KOGĂLNICEANU	LIC TEORETIC MIHAIL KOGĂLNICEANU	MIHAIL KOGĂLNICEANU	MIHAIL KOGĂLNICEANU	CONSTANŢA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9960	3761100046	LICEUL TEORETIC "MIHAIL KOGĂLNICEANU", MUN. VASLUI	LIT MIHAIL KOGĂLNICEANU	VASLUI	MUNICIPIUL VASLUI	VASLUI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9961	2361101987	LICEUL TEORETIC "MIHAIL KOGĂLNICEANU" SNAGOV	LICEUL TEORETIC "MIHAIL KOGALNICEANU" SNAGOV	SNAGOV	SNAGOV	ILFOV	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9962	4061102617	Liceul Teoretic ”Mihail Sadoveanu”	Lic.Teor. ”Mihail Sadoveanu”	BUCUREŞTI SECTORUL 2	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9963	0861101591	Liceul Teoretic 'Mihail Săulescu' Predeal	Liceul Teoretic Predeal	PREDEAL	ORAŞ PREDEAL	BRAŞOV	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9964	0961102197	LICEUL TEORETIC "MIHAIL SEBASTIAN"	LICEUL TEORETIC "MIHAIL SEBASTIAN"	BRĂILA	MUNICIPIUL BRĂILA	BRĂILA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9965	1461100404	Liceul Teoretic "Mikes Kelemen" Sfântu Gheorghe	LIC. TEOR. "MIKES KELEMEN" SFÂNTU GHEORGHE	SFÂNTU GHEORGHE	MUNICIPIUL SFÂNTU GHEORGHE	COVASNA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9966	3561200653	LICEUL TEORETIC MILLENIUM TIMIȘOARA	LIC.TEO. MILLENIUM TIMISOARA	TIMIŞOARA	MUNICIPIUL TIMIŞOARA	TIMIŞ	Cu personalitate juridică	Unitate de învățământ	Privată
9967	1461100015	Liceul Teoretic "Mircea Eliade" Întorsura Buzăului	LIC. TEOR. "MIRCEA ELIADE" INTORSURA BUZAULUI	ÎNTORSURA BUZĂULUI	ORAŞ ÎNTORSURA BUZĂULUI	COVASNA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9968	1761100598	LICEUL TEORETIC "MIRCEA ELIADE", LOCALITATEA GALATI	LIC.TEO."M.ELIADE" GL	GALAŢI	MUNICIPIUL GALAŢI	GALAŢI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9969	2061103139	LICEUL TEORETIC "MIRCEA ELIADE" LUPENI	LICEUL TEORETIC "MIRCEA ELIADE" LUPENI	LUPENI	MUNICIPIUL  LUPENI	HUNEDOARA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9970	2261106311	LICEUL TEORETIC "MIRON COSTIN", IAŞI	LIC "M. COSTIN" IASI	IAŞI	MUNICIPIUL IAŞI	IAŞI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9971	2261105916	LICEUL TEORETIC "MIRON COSTIN", PAŞCANI	LIC TEO "M. COSTIN" PASCANI	PAŞCANI	MUNICIPIUL PAŞCANI	IAŞI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9972	0861100717	Liceul Teoretic 'Mitropolit Ioan Mețianu' Zărnești	Liceul Teoretic Zărnești	ZĂRNEŞTI	ORAŞ ZĂRNEŞTI	BRAŞOV	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9973	1361105433	LICEUL TEORETIC MURFATLAR	LIC TEORETIC MURFATLAR	MURFATLAR	ORAŞ MURFATLAR	CONSTANŢA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9974	1461100431	Liceul Teoretic "Nagy Mózes" Târgu Secuiesc	LIC. TEOR. "NAGY MÓZES" TÂRGU SECUIESC	TÂRGU SECUIESC	MUNICIPIUL TÂRGU SECUIESC	COVASNA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9975	4061205491	LICEUL TEORETIC NATIONAL	LICEUL NATIONAL	BUCUREŞTI SECTORUL 1	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Unitate de învățământ	Privată
9976	3061101338	LICEUL TEORETIC NEGREȘTI OAȘ	LTN NEGREȘTI OAȘ	NEGREŞTI-OAŞ	ORAŞ NEGREŞTI-OAŞ	SATU MARE	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9977	1361100785	LICEUL TEORETIC NEGRU VODĂ	LIC TEORETIC NEGRU VODĂ	NEGRU VODĂ	ORAŞ NEGRU VODĂ	CONSTANŢA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9978	2461101565	LICEUL TEORETIC "NEMETH LASZLO" BAIA MARE	LT N LASZLO BM	BAIA MARE	MUNICIPIUL BAIA MARE	MARAMUREŞ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9979	4061206076	Liceul Teoretic "New Generation School"	Liceul New Generation School	BUCUREŞTI SECTORUL 2	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Unitate de învățământ	Privată
9980	4061100104	Liceul Teoretic "Nichita Stănescu"	Lic.Teor. "Nichita Stănescu"	BUCUREŞTI SECTORUL 3	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9981	1261100208	LICEUL TEORETIC "NICOLAE BĂLCESCU" CLUJ-NAPOCA	LICEUL TEORETIC "NICOLAE BĂLCESCU" CLUJ-NAPOCA	CLUJ-NAPOCA	MUNICIPIUL CLUJ-NAPOCA	CLUJ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9982	1361101316	LICEUL TEORETIC ’NICOLAE BĂLCESCU’ MEDGIDIA	LIC TEORETIC ’NICOLAE BĂLCESCU’ MEDGIDIA	MEDGIDIA	MUNICIPIUL MEDGIDIA	CONSTANŢA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9983	5261101497	LICEUL TEORETIC ”NICOLAE CARTOJAN” GIURGIU	LIC.TEORETIC "NICOLAE CARTOJAN"	GIURGIU	MUNICIPIUL GIURGIU	GIURGIU	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9984	4061101774	Liceul Teoretic "Nicolae Iorga"	Lic. Teo. "Nicolae Iorga"	BUCUREŞTI SECTORUL 1	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9985	0961101861	LICEUL TEORETIC "NICOLAE IORGA"	LICEUL TEORETIC "NICOLAE IORGA"	BRĂILA	MUNICIPIUL BRĂILA	BRĂILA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9986	3761200017	LICEUL TEORETIC "NICOLAE IORGA", MUN. BÂRLAD	LIT N.IORGA BÂRLAD	BÂRLAD	MUNICIPIUL BÂRLAD	VASLUI	Cu personalitate juridică	Unitate de învățământ	Privată
9987	1061104111	LICEUL TEORETIC "NICOLAE IORGA" ORAŞ NEHOIU	LIC TEO NEHOIU	NEHOIU	ORAŞ NEHOIU	BUZĂU	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9988	0561100242	LICEUL TEORETIC "NICOLAE JIGA" TINCA	LICEUL TEORETIC "NICOLAE JIGA" TINCA	TINCA	TINCA	BIHOR	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9989	2861100427	LICEUL TEORETIC "NICOLAE TITULESCU" SLATINA	LICEUL TEO "N.TITULESCU"SLATINA	SLATINA	MUNICIPIUL SLATINA	OLT	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9990	3561102069	LICEUL TEORETIC "NIKOLAUS LENAU" TIMIȘOARA	LIC.TEOR.NIKOLAUS LENAU TIMISOARA	TIMIŞOARA	MUNICIPIUL TIMIŞOARA	TIMIŞ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9991	1861100036	LICEUL TEORETIC NOVACI	LIC.TEORETIC NOVACI	NOVACI	ORAŞ NOVACI	GORJ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9992	2361100077	LICEUL TEORETIC NR. 1 PERIŞ	LICEUL TEORETIC NR. 1 PERIS	PERIŞ	PERIŞ	ILFOV	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9993	0561108404	LICEUL TEORETIC NR.1 BRATCA	LIT NR.1 BRATCA	BRATCA	BRATCA	BIHOR	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9994	1261104913	LICEUL TEORETIC "OCTAVIAN GOGA" HUEDIN	LICEUL TEORETIC "OCTAVIAN GOGA" HUEDIN	HUEDIN	ORAŞ HUEDIN	CLUJ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9995	1961104789	LICEUL TEORETIC "O.C.TĂSLĂUANU" TOPLIŢA	LIT "O.C.TASLAUANU" TOPLITA	TOPLIŢA	MUNICIPIUL  TOPLIŢA	HARGHITA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9996	3461101002	LICEUL TEORETIC OLTENI	LTE OLTENI	OLTENI	OLTENI	TELEORMAN	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9997	1261100289	LICEUL TEORETIC "ONISIFOR GHIBU" CLUJ-NAPOCA	LICEUL TEORETIC "ONISIFOR GHIBU" CLUJ-NAPOCA	CLUJ-NAPOCA	MUNICIPIUL CLUJ-NAPOCA	CLUJ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9998	3261101611	LICEUL TEORETIC "ONISIFOR GHIBU" SIBIU	LIC TEOR "ONISIFOR GHIBU" SIBIU	SIBIU	MUNICIPIUL SIBIU	SIBIU	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
9999	1061104717	LICEUL TEORETIC ORAŞ POGOANELE	LIC.POGOANELE	POGOANELE	ORAŞ POGOANELE	BUZĂU	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10000	2961107075	LICEUL TEORETIC, ORAȘUL AZUGA	LICEUL TEORETIC AZUGA	AZUGA	ORAŞ AZUGA	PRAHOVA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10001	1961103906	LICEUL TEORETIC "ORBÁN BALÁZS" CRISTURU SECUIESC	LIT "ORBAN BALAZS" CRISTUR	CRISTURU SECUIESC	ORAŞ CRISTURU SECUIESC	HARGHITA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10002	1361105026	LICEUL TEORETIC ’OVIDIUS’ CONSTANŢA	LIC TEORETIC ’OVIDIUS’ CȚA	CONSTANŢA	MUNICIPIUL CONSTANŢA	CONSTANŢA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10003	0961102084	LICEUL TEORETIC "PANAIT CERNA"	LICEUL TEORETIC "PANAIT CERNA"	BRĂILA	MUNICIPIUL BRĂILA	BRĂILA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10004	2161101298	LICEUL TEORETIC "PAUL GEORGESCU" ŢĂNDĂREI	LICEUL TEO."PAUL GEORGESCU" ŢĂNDĂREI	ŢĂNDĂREI	ORAŞ ŢĂNDĂREI	IALOMIŢA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10005	1261103396	LICEUL TEORETIC "PAVEL DAN" CÂMPIA TURZII	LICEUL TEORETIC "PAVEL DAN" CÂMPIA TURZII	CÂMPIA TURZII	MUNICIPIUL CÂMPIA TURZII	CLUJ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10006	0261101035	LICEUL TEORETIC PÂNCOTA	LICEUL TEORETIC PÂNCOTA	PÂNCOTA	ORAŞ PÂNCOTA	ARAD	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10007	3561102015	LICEUL TEORETIC PECIU NOU	LIC.TEOR. PECIU NOU	PECIU NOU	PECIU NOU	TIMIŞ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10008	3561106548	LICEUL TEORETIC PERIAM	LIC.TEOR.PERIAM	PERIAM	PERIAM	TIMIŞ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10009	0561101528	LICEUL TEORETIC "PETOFI SANDOR" SĂCUENI	LICEUL TEORETIC "PETOFI SANDOR" SĂCUENI	SĂCUENI	ORAŞ SĂCUENI	BIHOR	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10010	2861100929	LICEUL TEORETIC "PETRE PANDREA" BALȘ	LICEUL TEOR."P.PANDREA" BALS	BALŞ	ORAŞ BALŞ	OLT	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10011	1561101575	LICEUL TEORETIC ”PETRU CERCEL” TÂRGOVIȘTE	LICEUL TEORETIC ”PETRU CERCEL” TÂRGOVIȘTE	TÂRGOVIŞTE	MUNICIPIUL TÂRGOVIŞTE	DÂMBOVIŢA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10012	1261100063	LICEUL TEORETIC "PETRU MAIOR" GHERLA	LICEUL TEORETIC "PETRU MAIOR" GHERLA	GHERLA	MUNICIPIUL GHERLA	CLUJ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10013	0161102811	LICEUL TEORETIC "PETRU MAIOR" OCNA MURES	LIT "P. MAIOR" OCNA MURES	OCNA MUREŞ	ORAŞ OCNA MUREŞ	ALBA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10014	2461101877	LICEUL TEORETIC "PETRU RARES" TARGU LAPUS	LT P RARES TG LAPUS	TÂRGU LĂPUŞ	ORAŞ TÂRGU LĂPUŞ	MARAMUREŞ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10015	4061207977	Liceul Teoretic "Phoenix"	Liceul Teoretic "Phoenix"	BUCUREŞTI SECTORUL 1	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Unitate de învățământ	Privată
10016	3461100702	LICEUL TEORETIC PIATRA	LTE PIATRA	PIATRA	PIATRA	TELEORMAN	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10017	1361200593	LICEUL TEORETIC ’PONTUS EUXINUS’ LUMINA	LIC TEORETIC ’PONTUS EUXINUS’ LUMINA	LUMINA	LUMINA	CONSTANŢA	Cu personalitate juridică	Unitate de învățământ	Privată
10018	0661100055	LICEUL TEORETIC "RADU PETRESCU" PRUNDU BÂRGĂULUI	LIC TEO "R.PETRESCU" PRUNDU BÂRG.	PRUNDU BÂRGĂULUI	PRUNDU BÂRGĂULUI	BISTRIŢA-NĂSĂUD	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10019	2361102174	LICEUL TEORETIC "RADU POPESCU" POPEȘTI LEORDENI	LICEUL TEORETIC ”RADU POPESCU” POPESTI LEORDENI	POPEŞTI LEORDENI	ORAŞ POPEŞTI LEORDENI	ILFOV	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10020	1061104043	LICEUL TEORETIC "RADU VLĂDESCU" ORAŞ PĂTÂRLAGELE	LIC. "R. VLĂDESCU " PĂTÂRLAGELE	PĂTÂRLAGELE	ORAŞ PĂTÂRLAGELE	BUZĂU	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10021	3561106195	LICEUL TEORETIC RECAȘ	LIC.TEOR. RECAȘ	RECAŞ	ORAŞ RECAŞ	TIMIŞ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10022	1961104798	LICEUL TEORETIC "SALAMON ERNŐ" GHEORGHENI	LIT "SALAMON ERNO" GHEORGHENI	GHEORGHENI	MUNICIPIUL  GHEORGHENI	HARGHITA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10023	2661104791	LICEUL TEORETIC "SAMUIL MICU" SĂRMAȘU	LIC. TEOR. "S. MICU" SĂRMAŞU	SARMAŞU	ORAŞ SARMAŞU	MUREŞ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10024	0661100702	LICEUL TEORETIC SANITAR BISTRIȚA	LIC TEO SANIT BISTRITA	BISTRIŢA	MUNICIPIUL BISTRIŢA	BISTRIŢA-NĂSĂUD	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10025	4061205265	Liceul Teoretic Scoala Europeana Bucuresti	Liceul Teoretic Scoala Europeana Bucuresti	BUCUREŞTI SECTORUL 1	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Unitate de învățământ	Privată
10026	4061204273	LICEUL TEORETIC "SCOALA MEA"	LICEUL TEORETIC "SCOALA MEA"	BUCUREŞTI SECTORUL 1	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Unitate de învățământ	Privată
10027	0261100907	LICEUL TEORETIC SEBIŞ	LICEUL TEORETIC SEBIŞ	SEBIŞ	ORAŞ SEBIŞ	ARAD	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10028	1761104584	LICEUL TEORETIC "SFANTA MARIA", LOCALITATEA GALATI	LIC.TEO."SF.MARIA" GL	GALAŢI	MUNICIPIUL GALAŢI	GALAŢI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10029	0161202397	LICEUL TEORETIC "SFANTUL IOSIF" ALBA IULIA	LIC. TEO. "SF. IOSIF" ALBA IULIA	ALBA IULIA	MUNICIPIUL ALBA IULIA	ALBA	Cu personalitate juridică	Unitate de învățământ	Privată
10030	1961104468	LICEUL TEORETIC "SFÂNTU NICOLAE" GHEORGHENI	LIT "SFANTU NICOLAE" GHEORGHENI	GHEORGHENI	MUNICIPIUL  GHEORGHENI	HARGHITA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10031	3561101475	LICEUL TEORETIC "SFINȚII KIRIL ȘI METODII" DUDEȘTII VECHI	LIC.TEOR. DUDESTII VECHI	DUDEŞTII VECHI	DUDEŞTII VECHI	TIMIŞ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10032	4061205898	Liceul Teoretic „Sfinții Trei Ierarhi"	Liceul „Sfinții Trei Ierarhi"	BUCUREŞTI SECTORUL 1	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Unitate de învățământ	Privată
10033	2061103252	LICEUL TEORETIC "SILVIU DRAGOMIR" ILIA	LICEUL TEORETIC "SILVIU DRAGOMIR" ILIA	ILIA	ILIA	HUNEDOARA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10034	3561206234	LICEUL TEORETIC SOCRATES TIMIȘOARA	LIC.TEOR. SOCRATES TIMISOARA	TIMIŞOARA	MUNICIPIUL TIMIŞOARA	TIMIŞ	Cu personalitate juridică	Unitate de învățământ	Privată
10035	0661103637	LICEUL TEORETIC "SOLOMON HALIȚĂ" SÂNGEORZ-BĂI	LIC TEO "S.HAILȚĂ" SÂNGEORZ-BĂI	SÂNGEORZ-BĂI	ORAŞ SÂNGEORZ-BĂI	BISTRIŢA-NĂSĂUD	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10036	3561100994	LICEUL TEORETIC SPECIAL IRIS TIMIȘOARA	LIC. TEOR. SPEC. IRIS TIMISOARA	TIMIŞOARA	MUNICIPIUL TIMIŞOARA	TIMIŞ	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10037	0461108473	LICEUL TEORETIC "SPIRU HARET" MOINEŞTI	LICEUL "S.HARET" MOINEŞTI	MOINEŞTI	MUNICIPIUL MOINEŞTI	BACĂU	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10038	3261102526	LICEUL TEORETIC "STEPHAN LUDWIG ROTH" MEDIAŞ	LIC TEOR "ST.L.ROTH" MEDIAȘ	MEDIAŞ	MUNICIPIUL MEDIAŞ	SIBIU	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10039	2561200289	LICEUL TEORETIC "ȘERBAN CIOCULESCU"	LIC TEO.SERBAN CIOCULESCU	DROBETA-TURNU SEVERIN	MUNICIPIUL DROBETA-TURNU SEVERIN	MEHEDINŢI	Cu personalitate juridică	Unitate de învățământ	Privată
10040	2961102604	LICEUL TEORETIC "ȘERBAN VODĂ", ORAȘUL SLĂNIC	LICEUL TEORETIC "SERBAN VODA" SLANIC	SLĂNIC	ORAŞ SLĂNIC	PRAHOVA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10041	1061104147	LICEUL TEORETIC "ŞTEFAN CEL MARE" MUNICIPIUL RÂMNICU SĂRAT	LIC.ŞTEFAN	RÂMNICU SĂRAT	MUNICIPIUL RÂMNICU SĂRAT	BUZĂU	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10042	4061101557	Liceul Teoretic "Ștefan Odobleja"	Lic. Teo. "Ștefan Odobleja"	BUCUREŞTI SECTORUL 5	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10043	1961100021	LICEUL TEORETIC "TAMÁSI ÁRON" ODORHEIU SECUIESC	LIT "TAMASI ARON" ODORHEI	ODORHEIU SECUIESC	MUNICIPIUL ODORHEIU SECUIESC	HARGHITA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10044	1161104331	LICEUL TEORETIC "TATA OANCEA" BOCŞA	LIC TEORETIC "TATA OANCEA" BOCŞA	BOCŞA	ORAŞ BOCŞA	CARAŞ-SEVERIN	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10045	2061100891	LICEUL TEORETIC "TEGLAS GABOR" DEVA	LICEUL TEORETIC "TEGLAS GABOR" DEVA	DEVA	MUNICIPIUL DEVA	HUNEDOARA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10046	0161102544	LICEUL TEORETIC TEIUS	LICEUL TEORETIC TEIUS	TEIUŞ	ORAŞ TEIUŞ	ALBA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10047	4061102273	Liceul Teoretic ”Traian”	Lic.Teor. ”Traian”	BUCUREŞTI SECTORUL 2	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10048	1361100835	LICEUL TEORETIC ’TRAIAN’ CONSTANŢA	LIC TEORETIC ’TRAIAN’ CȚA	CONSTANŢA	MUNICIPIUL CONSTANŢA	CONSTANŢA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10049	2561102013	LICEUL TEORETIC "TRAIAN LALESCU"	LIC.TEORETIC "TR.LALESCU"	ORŞOVA	MUNICIPIUL ORŞOVA	MEHEDINŢI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
10050	2361102414	LICEUL TEORETIC "TRAIAN LALESCU“ BRĂNEȘTI	LICEUL TEORETIC “TRAIAN LALESCU“ BRANESTI	BRĂNEŞTI	BRĂNEŞTI	ILFOV	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
