27	5142100361	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA GIMNAZIALA "GHEORGHE MANU" BUDESTI	C.S.A.P.P. BUDESTI	BUDEŞTI	ORAŞ BUDEŞTI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
28	5142100388	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA GIMNAZIALA ,,MIHAI VITEAZU" CALARASI	C.S.A.P.P. ,,MIHAI VITEAZU" CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
29	5142100266	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA GIMNAZIALA NR.1 CURCANI	C.S.A.P.P SC. GIMNAZIALA NR.1 CURCANI	CURCANI	CURCANI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
30	5142100293	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA GIMNAZIALA NR1 FUNDENI	C.S.A.P.P. FUNDENI	FUNDENI	FUNDENI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
31	5142100447	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA GIMNAZIALA "SPIRU HARET" OLTENITA	C.S.A.P.P. SC. "SPIRU HARET"OLTENITA	OLTENIŢA	MUNICIPIUL OLTENIŢA	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
32	5142100275	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA NR. 3+5 OLTENITA	C.S..A.P.P NR. 3+5 OLTENITA	OLTENIŢA	MUNICIPIUL OLTENIŢA	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
33	2131100576	CASA CORPULUI DIDACTIC	CASA CORPULUI DIDACTIC	SLOBOZIA	MUNICIPIUL SLOBOZIA	IALOMIŢA	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
34	3231101858	CASA CORPULUI DIDACTIC	CCD SIBIU	SIBIU	MUNICIPIUL SIBIU	SIBIU	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
35	3631100037	CASA CORPULUI DIDACTIC	CCD	TULCEA	MUNICIPIUL TULCEA	TULCEA	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
36	2531100059	CASA CORPULUI DIDACTIC	CCDMH	DROBETA-TURNU SEVERIN	MUNICIPIUL DROBETA-TURNU SEVERIN	MEHEDINŢI	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
37	1131100081	CASA CORPULUI DIDACTIC	CCD CARAS-SEVERIN	REŞIŢA	MUNICIPIUL REŞIŢA	CARAŞ-SEVERIN	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
38	0631100135	CASA CORPULUI DIDACTIC A JUDEȚULUI BISTRIȚA-NĂSĂUD	CCD BISTRIȚA-NĂSĂUD	BISTRIŢA	MUNICIPIUL BISTRIŢA	BISTRIŢA-NĂSĂUD	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
39	0131100079	CASA CORPULUI DIDACTIC ALBA	CCD ALBA	ALBA IULIA	MUNICIPIUL ALBA IULIA	ALBA	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
40	0231100046	CASA CORPULUI DIDACTIC "ALEXANDRU GAVRA" ARAD	CCD ARAD	ARAD	MUNICIPIUL ARAD	ARAD	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
41	1931104634	CASA CORPULUI DIDACTIC "APÁCZAI CSERE JÁNOS" MIERCUREA CIUC	CCD "APACZAI" MIERCUREA CIUC	MIERCUREA CIUC	MUNICIPIUL MIERCUREA CIUC	HARGHITA	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
42	0331100108	CASA CORPULUI DIDACTIC ARGEȘ	CCD ARGEȘ	PITEŞTI	MUNICIPIUL PITEŞTI	ARGEŞ	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
43	0731104748	CASA CORPULUI DIDACTIC BOTOSANI	CCD BOTOSANI	BOTOŞANI	MUNICIPIUL BOTOŞANI	BOTOŞANI	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
44	0831101454	Casa Corpului Didactic Brașov	Casa Corpului Didactic Brașov	BRAŞOV	MUNICIPIUL BRAŞOV	BRAŞOV	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
45	0931100058	CASA CORPULUI DIDACTIC BRĂILA	CASA CORPULUI DIDACTIC BRĂILA	BRĂILA	MUNICIPIUL BRĂILA	BRĂILA	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
46	4031104572	Casa Corpului Didactic București	CCD București	BUCUREŞTI SECTORUL 6	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
47	5131100478	CASA CORPULUI DIDACTIC CALARASI	C.C.D CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
48	1231101682	CASA CORPULUI DIDACTIC CLUJ	CASA CORPULUI DIDACTIC CLUJ	CLUJ-NAPOCA	MUNICIPIUL CLUJ-NAPOCA	CLUJ	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
49	1331100087	CASA CORPULUI DIDACTIC CONSTANŢA	CCD CȚA	CONSTANŢA	MUNICIPIUL CONSTANŢA	CONSTANŢA	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
50	1431100167	Casa Corpului Didactic "Csutak Vilmos" Sfântu Gheorghe	CCD SFÂNTU GHEORGHE	SFÂNTU GHEORGHE	MUNICIPIUL SFÂNTU GHEORGHE	COVASNA	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
51	3031100073	CASA CORPULUI DIDACTIC "DARIU POP" SATU MARE	CCD SATU MARE	SATU MARE	MUNICIPIUL SATU MARE	SATU MARE	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
52	1631104272	CASA CORPULUI DIDACTIC DOLJ	CCD DOLJ	CRAIOVA	MUNICIPIUL CRAIOVA	DOLJ	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
53	1731100339	CASA CORPULUI DIDACTIC GALATI	CCD GL	GALAŢI	MUNICIPIUL GALAŢI	GALAŢI	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
54	3331100105	CASA CORPULUI DIDACTIC "GEORGE TOFAN" SUCEAVA	CCD ”GEORGE TOFAN” Suceava	SUCEAVA	MUNICIPIUL SUCEAVA	SUCEAVA	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
55	5231102135	CASA CORPULUI DIDACTIC GIURGIU	CCD GIURGIU	GIURGIU	MUNICIPIUL GIURGIU	GIURGIU	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
56	0431104825	CASA CORPULUI DIDACTIC "GRIGORE TABACARU"BACAU	CASA CORPULUI DIDACTIC BACAU	BACĂU	MUNICIPIUL BACĂU	BACĂU	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
57	2031100175	CASA CORPULUI DIDACTIC HUNEDOARA	CCD HUNEDOARA	DEVA	MUNICIPIUL DEVA	HUNEDOARA	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
58	2331100026	CASA CORPULUI DIDACTIC ILFOV	CCD ILFOV	BRĂNEŞTI	BRĂNEŞTI	ILFOV	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
59	2431100092	CASA CORPULUI DIDACTIC MARAMURES	CCDMM	BAIA MARE	MUNICIPIUL BAIA MARE	MARAMUREŞ	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
60	1031103642	CASA CORPULUI DIDACTIC MUNICIPIUL BUZĂU	CCD BUZAU	BUZĂU	MUNICIPIUL BUZĂU	BUZĂU	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
61	2631100071	CASA CORPULUI DIDACTIC MUREŞ	CCD MUREŞ	TÎRGU MUREŞ	MUNICIPIUL TÎRGU MUREŞ	MUREŞ	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
62	2731100065	CASA CORPULUI DIDACTIC NEAMȚ	CCD NEAMȚ	PIATRA-NEAMŢ	MUNICIPIUL PIATRA-NEAMŢ	NEAMŢ	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
63	0531100263	CASA CORPULUI DIDACTIC ORADEA	CASA CORPULUI DIDACTIC ORADEA	ORADEA	MUNICIPIUL ORADEA	BIHOR	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
64	2931100288	CASA CORPULUI DIDACTIC PRAHOVA	CASA CORPULUI DIDACTIC PRAHOVA	PLOIEŞTI	MUNICIPIUL PLOIEŞTI	PRAHOVA	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
65	3131100058	CASA CORPULUI DIDACTIC SĂLAJ	CCD SĂLAJ	ZALĂU	MUNICIPIUL ZALĂU	SĂLAJ	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
66	3931100313	CASA CORPULUI DIDACTIC "SIMION MEHEDINTI" FOCSANI	CCD "SIMION MEHEDINTI" FOCSANI	FOCŞANI	MUNICIPIUL FOCŞANI	VRANCEA	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
67	2831100276	CASA CORPULUI DIDACTIC SLATINA	CASA CORPULUI DIDACTIC SLATINA	SLATINA	MUNICIPIUL SLATINA	OLT	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
68	2231104434	CASA CORPULUI DIDACTIC "SPIRU HARET" IAȘI	CCD IASI	IAŞI	MUNICIPIUL IAŞI	IAŞI	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
69	1531100084	CASA CORPULUI DIDACTIC TÂRGOVIȘTE	CASA CORPULUI DIDACTIC TÂRGOVIȘTE	TÂRGOVIŞTE	MUNICIPIUL TÂRGOVIŞTE	DÂMBOVIŢA	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
70	3431100221	CASA CORPULUI DIDACTIC TELEORMAN	CCD TELEORMAN	ALEXANDRIA	MUNICIPIUL ALEXANDRIA	TELEORMAN	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
71	1831106235	CASA CORPULUI DIDACTIC TG-JIU	CASA CORPULUI DID.TG-JIU	TÂRGU JIU	MUNICIPIUL TÂRGU JIU	GORJ	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
72	3531100563	CASA CORPULUI DIDACTIC TIMIȘOARA	CCD TIMISOARA	TIMIŞOARA	MUNICIPIUL TIMIŞOARA	TIMIŞ	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
73	3831100034	CASA CORPULUI DIDACTIC VALCEA	CCD VALCEA	RÂMNICU VÂLCEA	MUNICIPIUL RÂMNICU VÂLCEA	VÂLCEA	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
74	3731100058	CASA CORPULUI DIDACTIC VASLUI	CCD VASLUI	VASLUI	MUNICIPIUL VASLUI	VASLUI	Cu personalitate juridică	Casa corpului didactic	Publică de interes naţional şi local
