59	Alba	LICEUL DE ARTE ALBA IULIA	3040398	Unitate de învăţământ	Liceu de muzică şi arte plastice	Liceu	Unitate de învăţământ	Liceu de muzică şi arte plastice
60	Alba	COLEGIUL NATIONAL "HOREA CLOSCA SI CRISAN" ALBA IULIA	308139	Unitate de învăţământ	Colegiu Naţional	Colegiu	Unitate de învăţământ	Colegiu Naţional
61	Alba	COLEGIUL NATIONAL "BETHLEN GABOR" AIUD	308165	Unitate de învăţământ	Colegiu Naţional	Colegiu	Unitate de învăţământ	Colegiu Naţional
62	Alba	LICEUL TEOLOGIC GRECO-CATOLIC "SFANTUL VASILE CEL MARE" BLAJ	3102134	Unitate de învăţământ	Liceu teologic	Liceu	Unitate de învăţământ	Liceu teologic
63	Alba	SCOALA GIMNAZIALA SASCIORI	307123	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
64	Alba	SCOALA GIMNAZIALA RAMET	306832	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
65	Alba	LICEUL TEHNOLOGIC "TIMOTEI CIPARIU" BLAJ	792031	Unitate de învăţământ	Grup şcolar industrial	Grup şcolar	Unitate de învăţământ	Grup şcolar industrial
66	Alba	SCOALA GIMNAZIALA CERU BACAINTI	305125	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
67	Alba	CENTRUL SCOLAR DE EDUCATIE INCLUZIVA ALBA IULIA	503129	Unitate de învăţământ	Şcoala specială - alte deficienţe	Şcoală specială	Unitate de învăţământ	Şcoala specială - alte deficienţe
68	Alba	LICEUL CU PROGRAM SPORTIV ALBA IULIA	3100344	Unitate de învăţământ	Liceu de educaţie fizică şi sport	Liceu	Unitate de învăţământ	Liceu de educaţie fizică şi sport
69	Alba	SCOALA GIMNAZIALA "ION POP RETEGANUL" SINCEL	307317	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
70	Alba	SCOALA GIMNAZIALA NR. 2 SEBES	304303	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
71	Alba	COLEGIUL TEHNIC "I. D. LAZARESCU" CUGIR	1180235	Unitate de învăţământ	Colegiu Tehnic	Colegiu	Unitate de învăţământ	Colegiu Tehnic
72	Alba	COLEGIUL NATIONAL "DAVID PRODAN" CUGIR	308206	Unitate de învăţământ	Colegiu Naţional	Colegiu	Unitate de învăţământ	Colegiu Naţional
73	Alba	SCOALA GIMNAZIALA "ION AGARBICEANU" ALBA IULIA	303672	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
74	Alba	COLEGIUL TEHNIC "DORIN PAVEL" ALBA IULIA	308270	Unitate de învăţământ	Colegiu Tehnic	Colegiu	Unitate de învăţământ	Colegiu Tehnic
75	Alba	SCOALA GIMNAZIALA "OVIDIU HULEA" AIUD	303866	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
76	Alba	SCOALA GIMNAZIALA "IULIU MANIU" VINTU DE JOS	308050	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
77	Alba	SCOALA POSTLICEALA SANITARA ALBA IULIA	1313519	Unitate de învăţământ	Şcoala postliceală	Scoală postliceală	Unitate de învăţământ	Şcoala postliceală
78	Alba	CLUBUL COPIILOR SI ELEVILOR AIUD-OCNA MURES	1103017	Unitate de învăţământ	Clubul copiilor	Club al elevilor, palat al copiilor	Unitate de învăţământ	Clubul copiilor
